start_date,end_date,retail,recreation,grocery_and_pharmacy,workplace,beach,restaurantes,notes
3/15/2020,3/30/2020,-100,-100,-80,-90,-100,-100,
3/31/2020,4/12/2020,-100,-100,-80,-90,-100,-100,
4/13/2020,5/3/2020,-100,-100,-80,-90,-100,-100,
5/4/2020,5/25/2020,-100,-100,-80,-90,-100,-100,
5/26/2020,6/15/2020,-75,-100,-50,-70,-50,-75,
6/16/2020,6/30/2020,-50,-50,-50,-70,-35,-50,
7/1/2020,7/16/2020,-25,-25,-25,-70,-35,-25,
7/17/2020,7/31/2020,-50,-100,-50,-70,-50,-50,
8/1/2020,8/15/2020,-50,-100,-50,-70,-50,-50,
8/16/2020,8/21/2020,-50,-100,-50,-70,-50,-50,
8/22/2020,9/11/2020,-75,-100,-75,-70,-50,-75,
9/12/2020,10/2/2020,-50,-75,-50,-70,-35,-50,
10/3/2020,10/16/2020,-50,-75,-50,-70,-35,-50,
10/17/2020,11/13/2020,-45,-70,-45,-70,-35,-45,
11/14/2020,12/11/2020,-70,-70,-70,-70,-50,-70,
12/12/2020,1/7/2021,-70,-70,-70,-70,-50,-70,
1/8/2021,2/7/2021,-70,-70,-70,-70,-50,-70,
2/8/2021,3/14/2021,-50,-70,-50,-50,-50,-70,
3/15/2021,4/8/2021,-50,-50,-50,-50,-50,-50,
4/9/2021,4/16/2021,-50,-70,-50,-50,-50,-50,
4/17/2021,5/9/2021,-70,-70,-70,-70,-50,-70,
